Team,Fouls Against,Fouls For,Indirect Red Cards,Offsides,Red Cards,Yellow Cards
Algeria,17,30,0,2,0,1
Argentina,33,31,0,8,0,2
Australia,34,24,0,1,0,5
Austria,32,20,0,6,0,4
Belgium,51,45,0,6,1,4
Bosnia and Herzegovina,59,37,0,2,1,7
Brazil,44,48,0,10,0,7
Cabo Verde,15,35,0,5,0,4
Canada,48,58,0,5,0,7
Colombia,35,34,0,13,0,4
Congo DR,44,44,0,9,0,6
Croatia,33,40,0,4,0,2
Curaçao,32,31,0,5,0,7
Czechia,37,31,0,5,0,1
Côte d'Ivoire,29,36,0,4,0,4
Ecuador,49,37,0,2,1,8
Egypt,34,42,0,1,0,6
England,47,64,0,6,0,3
France,38,29,0,7,0,1
Germany,51,42,0,4,0,3
Ghana,46,33,0,8,0,3
Haiti,55,43,0,7,0,7
IR Iran,35,23,0,9,0,6
Iraq,27,31,0,1,1,4
Japan,55,31,0,4,0,4
Jordan,31,23,0,3,0,4
Korea Republic,25,32,0,8,0,4
Mexico,44,42,0,4,1,2
Morocco,47,57,0,6,0,2
Netherlands,44,43,0,8,0,3
New Zealand,32,23,0,4,0,4
Norway,42,29,0,3,0,2
Panama,46,33,0,6,0,5
Paraguay,53,50,0,5,1,9
Portugal,29,34,0,7,0,4
Qatar,36,28,0,4,2,4
Saudi Arabia,29,26,0,3,0,6
Scotland,42,39,0,2,0,5
Senegal,36,48,0,10,0,3
South Africa,38,46,0,8,2,5
Spain,34,15,0,6,0,2
Sweden,43,50,0,9,0,5
Switzerland,37,42,0,5,0,3
Tunisia,27,34,0,9,0,1
Türkiye,31,38,0,7,0,2
USA,45,55,0,11,1,5
Uruguay,31,29,0,14,1,5
Uzbekistan,45,29,0,3,0,4
