Team,Goals Conceded,Clean Sheets,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Goalkeeper Saves
Algeria,7,0,36,33,6
Argentina,1,2,31,26,1
Australia,2,2,65,56,11
Austria,9,0,49,44,10
Belgium,4,1,79,65,12
Bosnia and Herzegovina,8,0,92,70,8
Brazil,2,2,54,47,12
Cabo Verde,2,2,96,71,10
Canada,3,2,43,34,6
Colombia,1,2,37,36,5
Congo DR,5,0,83,70,15
Croatia,5,1,59,48,11
Curaçao,9,1,81,72,21
Czechia,6,0,60,52,11
Côte d'Ivoire,4,2,84,68,11
Ecuador,4,1,68,63,12
Egypt,3,0,64,56,9
England,3,2,53,43,6
France,2,2,42,36,9
Germany,5,0,61,45,7
Ghana,2,2,64,55,9
Haiti,8,0,56,48,13
IR Iran,3,1,75,65,15
Iraq,12,0,94,81,10
Japan,5,1,78,64,17
Jordan,8,0,70,56,8
Korea Republic,3,0,42,34,11
Mexico,0,4,51,41,6
Morocco,4,1,59,49,9
Netherlands,5,0,57,54,17
New Zealand,10,0,97,88,11
Norway,8,0,85,75,12
Panama,4,0,48,42,9
Paraguay,5,2,116,103,24
Portugal,1,2,63,54,9
Qatar,10,0,124,103,16
Saudi Arabia,5,1,86,78,17
Scotland,4,1,75,64,9
Senegal,9,1,87,70,13
South Africa,4,1,72,59,14
Spain,0,4,43,31,6
Sweden,10,0,76,66,16
Switzerland,3,0,38,34,11
Tunisia,12,0,77,64,7
Türkiye,5,0,55,46,8
USA,4,2,58,47,7
Uruguay,4,0,48,39,4
Uzbekistan,11,0,82,65,6
