Assists,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts On Target,Attempts Outside the Penalty Area,Corners,Goals,Headed Attempts at Goal,Off-Target Attempts,Possession Control (%),Rank,Team,xG,xG Efficiency,Category,Crosses,Crossing Accuracy (%),Defensive Linebreaks Acc (%),Defensive Linebreaks Attempted,Passes,Passing Accuracy (%),Switches of Play Acc (%),Switches of Play Attempted,Ball Recovery Time (s),Defensive Pressures Applied,Defensive Pressures Directly Applied,Forced Turnovers,Goals Conceded,Own Goals,Fouls Against,Fouls For,Indirect Red Cards,Offsides,Red Cards,Yellow Cards,Clean Sheets,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Goalkeeper Save Percentage (%),Goalkeeper Saves,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Offers To Receive,Receptions Between Midfield And Defensive Line,Receptions In Behind,Receptions Under Pressure,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m)
12,73,18,43,34,30,24,13,5,26,51,1,France,7.86,1.65x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,46,24,35,22,11,18,11,14,15,50,2,Netherlands,5,2.2x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,74,15,48,28,26,34,11,12,26,56,2,Germany,8.64,1.27x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,43,23,35,21,8,17,10,9,14,47,4,Norway,7.66,1.31x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,71,13,51,29,20,39,9,15,27,49,5,Canada,8.33,1.08x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,59,15,41,25,18,22,9,10,21,52,5,Brazil,8.31,1.08x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,32,25,16,11,16,13,8,5,15,42,7,Japan,3.17,2.52x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,44,18,36,15,8,19,8,9,15,54,7,USA,5.24,1.53x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,49,16,28,17,21,20,8,6,21,52,7,Senegal,5.14,1.56x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35,23,20,15,15,9,8,4,15,53,7,Argentina,6.55,1.22x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,48,15,30,23,18,18,7,8,18,43,11,Sweden,4.66,1.5x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,45,16,32,18,13,19,7,3,17,55,11,Switzerland,6.67,1.05x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,59,12,35,21,24,24,7,8,19,55,11,Morocco,5.55,1.26x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,35,17,23,13,12,4,6,6,15,48,14,Mexico,4.22,1.42x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,58,10,46,20,12,24,6,16,26,60,14,England,6.72,0.89x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,26,23,15,8,11,10,6,5,14,44,14,Austria,3.63,1.65x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,73,8,50,21,23,14,6,8,30,52,14,Belgium,6.55,0.92x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,37,16,22,12,15,10,6,2,16,55,14,Portugal,3.57,1.68x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,27,19,12,11,15,12,5,5,10,38,19,Bosnia and Herzegovina,1.83,2.73x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,24,21,11,11,13,7,5,4,9,49,19,Croatia,2.24,2.23x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,36,14,21,14,15,12,5,5,14,58,19,Algeria,3.99,1.25x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,45,11,30,14,15,26,5,3,17,45,19,Côte d'Ivoire,5.5,0.91x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,48,10,30,13,18,18,5,6,23,47,19,Egypt,3.76,1.33x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,55,9,34,16,21,23,5,11,26,62,19,Spain,6.58,0.76x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31,13,19,15,12,10,4,6,8,42,25,New Zealand,2.48,1.62x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34,12,16,8,18,10,4,5,21,37,25,Congo DR,3.07,1.3x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,59,7,35,20,24,14,4,7,23,56,25,Colombia,4.55,0.88x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,6,27,13,22,26,3,15,25,51,28,Uruguay,3.95,0.76x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,24,13,13,9,11,6,3,3,9,29,28,Jordan,1.87,1.6x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,8,26,10,11,8,3,7,15,37,28,IR Iran,4.57,0.66x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30,10,16,8,14,8,3,4,14,28,28,Paraguay,1.86,1.61x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,70,4,37,14,33,22,3,7,35,58,28,Türkiye,5.5,0.55x,Attacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
