Team,Statistic,Value
Algeria,Attacking - Assists,3.0
Argentina,Attacking - Assists,3.0
Australia,Attacking - Assists,1.0
Austria,Attacking - Assists,4.0
Belgium,Attacking - Assists,3.0
Bosnia and Herzegovina,Attacking - Assists,3.0
Brazil,Attacking - Assists,8.0
Cabo Verde,Attacking - Assists,0.0
Canada,Attacking - Assists,3.0
Colombia,Attacking - Assists,4.0
Congo DR,Attacking - Assists,2.0
Croatia,Attacking - Assists,5.0
Curaçao,Attacking - Assists,0.0
Czechia,Attacking - Assists,2.0
Côte d'Ivoire,Attacking - Assists,4.0
Ecuador,Attacking - Assists,2.0
Egypt,Attacking - Assists,5.0
England,Attacking - Assists,5.0
France,Attacking - Assists,12.0
Germany,Attacking - Assists,10.0
Ghana,Attacking - Assists,2.0
Haiti,Attacking - Assists,1.0
IR Iran,Attacking - Assists,1.0
Iraq,Attacking - Assists,1.0
Japan,Attacking - Assists,7.0
Jordan,Attacking - Assists,3.0
Korea Republic,Attacking - Assists,2.0
Mexico,Attacking - Assists,5.0
Morocco,Attacking - Assists,6.0
Netherlands,Attacking - Assists,10.0
New Zealand,Attacking - Assists,3.0
Norway,Attacking - Assists,7.0
Panama,Attacking - Assists,0.0
Paraguay,Attacking - Assists,3.0
Portugal,Attacking - Assists,3.0
Qatar,Attacking - Assists,1.0
Saudi Arabia,Attacking - Assists,0.0
Scotland,Attacking - Assists,0.0
Senegal,Attacking - Assists,8.0
South Africa,Attacking - Assists,1.0
Spain,Attacking - Assists,4.0
Sweden,Attacking - Assists,6.0
Switzerland,Attacking - Assists,4.0
Tunisia,Attacking - Assists,2.0
Türkiye,Attacking - Assists,2.0
USA,Attacking - Assists,4.0
Uruguay,Attacking - Assists,1.0
Uzbekistan,Attacking - Assists,1.0
Algeria,Attacking - Attempts At Goal,36.0
Argentina,Attacking - Attempts At Goal,35.0
Australia,Attacking - Attempts At Goal,26.0
Austria,Attacking - Attempts At Goal,26.0
Belgium,Attacking - Attempts At Goal,73.0
Bosnia and Herzegovina,Attacking - Attempts At Goal,27.0
Brazil,Attacking - Attempts At Goal,59.0
Cabo Verde,Attacking - Attempts At Goal,33.0
Canada,Attacking - Attempts At Goal,71.0
Colombia,Attacking - Attempts At Goal,59.0
Congo DR,Attacking - Attempts At Goal,34.0
Croatia,Attacking - Attempts At Goal,24.0
Curaçao,Attacking - Attempts At Goal,29.0
Czechia,Attacking - Attempts At Goal,34.0
Côte d'Ivoire,Attacking - Attempts At Goal,45.0
Ecuador,Attacking - Attempts At Goal,46.0
Egypt,Attacking - Attempts At Goal,48.0
England,Attacking - Attempts At Goal,58.0
France,Attacking - Attempts At Goal,73.0
Germany,Attacking - Attempts At Goal,74.0
Ghana,Attacking - Attempts At Goal,15.0
Haiti,Attacking - Attempts At Goal,31.0
IR Iran,Attacking - Attempts At Goal,37.0
Iraq,Attacking - Attempts At Goal,21.0
Japan,Attacking - Attempts At Goal,32.0
Jordan,Attacking - Attempts At Goal,24.0
Korea Republic,Attacking - Attempts At Goal,32.0
Mexico,Attacking - Attempts At Goal,35.0
Morocco,Attacking - Attempts At Goal,59.0
Netherlands,Attacking - Attempts At Goal,46.0
New Zealand,Attacking - Attempts At Goal,31.0
Norway,Attacking - Attempts At Goal,43.0
Panama,Attacking - Attempts At Goal,32.0
Paraguay,Attacking - Attempts At Goal,30.0
Portugal,Attacking - Attempts At Goal,37.0
Qatar,Attacking - Attempts At Goal,17.0
Saudi Arabia,Attacking - Attempts At Goal,17.0
Scotland,Attacking - Attempts At Goal,29.0
